id,title,content,created_at,updated_at,latitude,longitude,url,address
1,"目黒中小企業センター",,"2017-04-14 06:42:22.638521","2017-04-14 06:42:22.638521",35.6347557,139.7092176,http://megurokuchushokigyocenter.jp/,
2,"目黒区立駒場体育館",,"2017-04-14 06:44:36.267358","2017-04-14 06:44:36.267358",35.6580476,139.6806439,http://www.komaba-taiikukan.jp/,
3,"世田谷区役所 太子堂区民センター",,"2017-04-14 06:47:03.633539","2017-04-14 06:47:03.633539",35.642898,139.673623,"",
4,"中野体育館",,"2017-04-15 07:25:30.097520","2017-04-15 07:25:30.097520",35.709137,139.662862,http://www.nakano-taiikukan.com/nakano/personal/,
5,"千代田区立スポーツセンター",,"2017-04-15 07:26:41.051793","2017-04-15 07:26:41.051793",35.6890888,139.7675099,http://www.spst-chiyoda.jp/facilities/chiyoda.html,
6,"中央区立 総合スポーツセンター",,"2017-04-15 07:27:02.449789","2017-04-15 07:27:02.449789",35.6879428,139.7891375,http://www.chuo-sports.jp/,
7,"文京総合体育館",,"2017-04-15 07:28:14.236425","2017-04-15 07:28:14.236425",35.7081372,139.763335,http://www.city.bunkyo.lg.jp/sosiki_busyo_sports_shisetsu_sougoutaiikukan.html,
8,"文京区スポーツセンター",,"2017-04-15 07:29:22.373414","2017-04-15 07:29:22.373414",35.720524,139.73642,http://www.city.bunkyo.lg.jp/bunka/sports/shisetsu/sportscenter/bunkyosportscenter.html,
9,"郷土の森総合体育館",,"2017-04-15 07:30:14.343479","2017-04-15 07:30:14.343479",35.655872,139.476207,https://www.city.fuchu.tokyo.jp/shisetu/supotu/taikukan/sogo.html,
10,"渋谷区スポーツセンター",,"2017-04-15 07:33:35.923973","2017-04-15 07:33:35.923973",35.675639,139.6812624,http://www.city.shibuya.tokyo.jp/est/sports/sp0_spcenter.html,
11,"シェークハンズクラブ（株式会社シェークハンズ）",,"2017-04-17 14:45:17.716195","2017-04-17 14:45:17.716195",35.700255,139.757845,http://www.shands.jp/,
12,"世田谷区立池之上青少年会館",,"2017-04-17 14:47:27.773164","2017-04-18 02:41:40.751596",35.659349,139.673362,http://www.city.setagaya.lg.jp/kurashi/106/150/655/d00007618.html,
13,"南スポーツセンター",,"2017-04-17 16:07:43.354692","2017-04-17 16:07:43.354692",,,http://www.yspc.or.jp/yspc/sp/index.jsp?p=1&yspcFacilitiesURLString=minami_sc_ysa,
14,"卓トレ西川口店",,"2017-04-18 02:17:59.812429","2017-04-18 02:17:59.812429",35.8138866,139.7009696,http://taku-tore.com/,
15,"卓トレ世田谷経堂店",,"2017-04-18 02:18:14.921135","2017-04-18 02:18:14.921135",35.6529914,139.6379716,http://taku-tore.com/,
16,"足立区梅田地域学習センター・体育館（Ｌ．ソフィア）",,"2017-04-19 07:45:00.742760","2017-04-19 07:45:00.742760",35.77064,139.7981351,"",
17,"足立区総合スポーツセンター体育館",,"2017-04-19 07:45:14.714373","2017-04-19 07:45:14.714373",35.7921697,139.8135831,"",
18,"スイムスポーツセンター体育館",,"2017-04-19 07:45:28.334447","2017-04-19 07:45:28.334447",35.803411,139.797204,"",
19,"荒川総合スポーツセンター",,"2017-04-19 07:45:42.420857","2017-04-19 07:45:42.420857",35.735796,139.791207,"",
20,"偉関卓球ランド",,"2017-04-19 07:45:54.941696","2017-04-19 07:45:54.941696",35.776331,139.704441,"",
21,"板橋区立赤塚体育館",,"2017-04-19 07:46:07.607347","2017-04-19 07:46:07.607347",35.777971,139.641782,"",
22,"板橋区立 小豆沢体育館",,"2017-04-19 07:46:18.806339","2017-04-19 07:46:18.806339",35.7784857,139.6983809,"",
23,"板橋区立上板橋体育館",,"2017-04-19 07:46:31.538109","2017-04-19 07:46:31.538109",35.757071,139.675591,"",
24,"東板橋体育館",,"2017-04-19 07:46:44.456349","2017-04-19 07:46:44.456349",35.753798,139.715574,"",
25,"江戸川区スポーツセンター",,"2017-04-19 07:46:58.093622","2017-04-19 07:46:58.093622",35.668008,139.862564,"",
26,"江戸川区総合体育館アーチェリー場",,"2017-04-19 07:47:15.352851","2017-04-19 07:47:15.352851",35.7172289,139.8757509,"",
27,"大森スポーツセンター",,"2017-04-19 07:47:30.821028","2017-04-19 07:47:30.821028",35.580882,139.737401,"",
28,"葛飾区総合スポーツセンター",,"2017-04-19 07:47:54.255400","2017-04-19 07:47:54.255400",35.7376588,139.862123,"",
29,"桐ケ丘体育館",,"2017-04-21 11:17:49.698863","2017-04-21 11:17:49.698863",35.779317,139.71164,https://www.city.kita.tokyo.jp/sports/bunka/sport/shisetsu/okunai/ichiran/kirigaoka.html,
30,"滝野川体育館",,"2017-04-21 11:18:33.696294","2017-04-21 11:18:33.696294",35.745497,139.745163,https://ssl.alpha-prm.jp/takitai.net/index.html,
31,"江東区亀戸スポーツセンター",,"2017-04-21 11:19:10.555008","2017-04-21 11:19:10.555008",35.7002951,139.8366356,https://www.koto-hsc.or.jp/sports_center3/,
32,"江東区スポーツ会館",,"2017-04-21 11:19:40.280066","2017-04-21 11:19:40.280066",35.6841881,139.8215993,http://www.koto-hsc.or.jp/sports_center1/,
33,"東砂スポーツセンター",,"2017-04-21 11:20:18.439854","2017-04-21 11:20:18.439854",35.6791866,139.8394437,http://www.koto-hsc.or.jp/sports_center5/,
34,"深川スポーツセンター",,"2017-04-21 11:20:46.289100","2017-04-21 11:20:46.289100",35.670459,139.79171,http://www.koto-hsc.or.jp/sports_center2/,
35,"駒沢オリンピック公園 陸上競技場",,"2017-04-21 11:21:25.635720","2017-04-21 11:21:25.635720",35.625591,139.6636553,http://www.tef.or.jp/kopgp/ballgame_indoor_top.jsp,
36,"駒沢オリンピック公園 体育館",,"2017-04-21 11:21:54.919361","2017-04-21 11:21:54.919361",35.6248155,139.6608676,http://www.tef.or.jp/kopgp/gym_top.jsp,
37,"品川区総合体育館・日野学園温水プール",,"2017-04-21 11:22:46.254370","2017-04-21 11:25:56.214307",35.624461,139.7284636,http://www.ssa-or.biz/shisetsu/sougou/index.html,
